A,B,C,Livre,edge_AB,edge_AC,edge_BC,check,Clé_trio,Uniques?,Family_A,Color_A,Family_B,Color_B,Family_C,Color_C
Allspice,Chilli,Chocolate,mixed,Allspice|Chilli,Allspice|Chocolate,Chilli|Chocolate,TRUE,Allspice|Chilli|Chocolate,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Chilli,Lemon,mixed,Allspice|Chilli,Allspice|Lemon,Chilli|Lemon,TRUE,Allspice|Chilli|Lemon,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b
Allspice,Chilli,Orange,mixed,Allspice|Chilli,Allspice|Orange,Chilli|Orange,TRUE,Allspice|Chilli|Orange,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Citrussy ; Sour fruity,#f3d45b
Allspice,Chilli,Coconut,mixed,Allspice|Chilli,Allspice|Coconut,Chilli|Coconut,TRUE,Allspice|Chilli|Coconut,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Green & Grassy ; Light green,#a8b172
Allspice,Chilli,Ginger,mixed,Allspice|Chilli,Allspice|Ginger,Chilli|Ginger,TRUE,Allspice|Chilli|Ginger,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6
Allspice,Chilli,Peppercorn,II,Allspice|Chilli,Allspice|Peppercorn,Chilli|Peppercorn,TRUE,Allspice|Chilli|Peppercorn,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Spicy woody,#745156
Allspice,Chilli,Lentil,II,Allspice|Chilli,Allspice|Lentil,Chilli|Lentil,TRUE,Allspice|Chilli|Lentil,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Leguminous,#43221c
Allspice,Chilli,Tomato,mixed,Allspice|Chilli,Allspice|Tomato,Chilli|Tomato,TRUE,Allspice|Chilli|Tomato,3,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a
Allspice,Bay Leaf,Cinnamon,II,Allspice|Bay Leaf,Allspice|Cinnamon,Bay Leaf|Cinnamon,TRUE,Allspice|Bay Leaf|Cinnamon,3,Spicy woody,#745156,Spicy woody,#745156,Green & Grassy ; Light green,#a8b172
Allspice,Bay Leaf,Wholegrain Rice,II,Allspice|Bay Leaf,Allspice|Wholegrain Rice,Bay Leaf|Wholegrain Rice,TRUE,Allspice|Bay Leaf|Wholegrain Rice,3,Spicy woody,#745156,Spicy woody,#745156,Caramel roasted,#e0d78f
Allspice,Bay Leaf,Orange,II,Allspice|Bay Leaf,Allspice|Orange,Bay Leaf|Orange,TRUE,Allspice|Bay Leaf|Orange,3,Spicy woody,#745156,Spicy woody,#745156,Citrussy ; Sour fruity,#f3d45b
Allspice,Bay Leaf,Peppercorn,II,Allspice|Bay Leaf,Allspice|Peppercorn,Bay Leaf|Peppercorn,TRUE,Allspice|Bay Leaf|Peppercorn,3,Spicy woody,#745156,Spicy woody,#745156,Spicy woody,#745156
Allspice,Bay Leaf,Lentil,II,Allspice|Bay Leaf,Allspice|Lentil,Bay Leaf|Lentil,TRUE,Allspice|Bay Leaf|Lentil,3,Spicy woody,#745156,Spicy woody,#745156,Leguminous,#43221c
